Rec	Don	Tc	[D]	P+	[P+]	P-	[P-]	N	logN	[n]	log[n]	Tc teor	Tc/Don	log T/D	[T]real		a=T/P+P-	1+aNTh	lna=lnT/D-lnR	a=exp(anterior)	1-ap/1+apth		aDR/1-aR	R:D			R/D	1/P-		R/D
2,06E+09		3,96E+08																												
3,50E+08	1,29E+07	1,47E+08	5,16E-02	1,60E+09	6,40E-01	1,64E+09	6,54E-01	3,23E+09	9,51	1,293600	0,111800007	-6,13E-02	11,395349	1,06	5,88E-01	-0,10	1,41E+00	81,24438	1,24115	17,42408	-5,2932		-1,29E+08	2,41E+01			24,06976744	6,12E-10		24,06976744
271000000																														
2,70E+07	1,88E+06	5,90E+06	7,52E-03	7,78E+07	3,11E-02	2,15E+08	8,58E-02	2,92E+08	8,47	0,116920	-0,932111193	-9,22E-03	3,138298	0,50	2,36E-02	-0,39	8,84E+00	8,25276	1,56321	36,57690	-4,4284		-1,88E+07	1,45E+01			14,54787234			14,54787234
2,77E+07																														
3,08E+06	1,21E+05	2,17E+05	4,84E-04	3,38E+06	1,35E-03	2,82E+07	1,13E-02	3,16E+07	7,50	0,012644	-1,898115513	-7,76E-04	1,793388	0,25	8,68E-04	-0,89	5,69E+01	1,78433	2,20090	158,81938	-1,6562			2,51E+01			25,12396694	3,54E-08		25,12396694
3,00E+06																														
3,13E+05	2,11E+04	4,20E+03	8,44E-05	2,53E+05	1,01E-04	3,57E+06	1,43E-03	3,83E+06	6,58	0,001530	-2,815195043	9,33E-05	0,199052	-0,70	1,68E-05	5,56	1,16E+02	1,09493	2,14387	139,27521	0,4749			1,71E+01			17,13270142	2,80E-07		17,13270142
4,10E+05																														
4,90E+04	2,49E+03	7,40E+01	9,96E-06	2,63E+04	1,05E-05	4,89E+05	1,96E-04	5,15E+05	5,71	0,000206	-3,685753465	8,35E-07	0,032024	-1,49	3,26E-07	2,56	1,59E+02	1,01279	2,21394	163,65780	0,9227			1,93E+01			19,25343811	2,04E-06		19,25343811
	2,60E+03	8,90E+01																												
																														
																														
																														
																														
